velocity, flux, flux_err
-388.158937432, 1.10508217011, 0.149284053857
-379.401751468, 1.01640684093, 0.147987517195
-370.644565067, 1.04002491949, 0.148119461513
-361.887379103, 1.13260022328, 0.149814186675
-353.130192702, 1.07986466726, 0.150161949578
-344.3730063, 1.05783523669, 0.151246697865
-335.615820337, 1.02723772373, 0.148451872095
-326.858633935, 1.04464289199, 0.148531064832
-318.101447972, 1.04874215782, 0.14820238181
-309.300475713, 0.999168767923, 0.149596504378
-300.543289749, 0.906915441663, 0.143978289656
-291.786103348, 0.984520343051, 0.147620947857
-283.028917384, 0.982186381616, 0.148174864197
-274.271730983, 0.923634030888, 0.145238456278
-265.514545019, 1.04902083777, 0.150613468668
-256.757358618, 1.01812033996, 0.150858260067
-248.000172217, 1.00250282402, 0.152350797279
-239.242986253, 1.06193414261, 0.155479348266
-230.485799852, 1.04092245868, 0.150554389902
-221.728613888, 1.017115446, 0.151167033124
-212.971427487, 0.869895773708, 0.144653823104
-204.214241523, 0.950738413137, 0.146024277819
-195.457055122, 1.07586018986, 0.148926864298
-186.699869158, 0.968902017195, 0.144055859565
-177.942682757, 1.01131410111, 0.156072490465
-169.185496793, 1.04816865261, 0.168842013982
-160.428310392, 1.09883593597, 0.174806405465
-151.671124428, 1.11958131257, 0.179273609351
-142.913938027, 1.06068175992, 0.172701628404
-134.156752063, 1.09708836956, 0.158674647552
-125.399565662, 1.0689636742, 0.149669897755
-116.642379698, 1.04647002897, 0.145789548875
-107.885193297, 1.16654152334, 0.15001464591
-99.1280068956, 1.01890457204, 0.144251628213
-90.370820932, 0.94002080721, 0.14230389916
-81.6136345307, 0.903021595407, 0.144389897531
-72.8564485671, 0.938634499518, 0.144012805013
-64.0554763081, 0.91095762061, 0.143596531285
-55.2982903446, 0.896524139479, 0.142715576041
-46.5411039432, 0.747384668219, 0.138621256396
-37.7839179796, 0.637140876816, 0.137319528223
-29.0267315783, 0.534034776865, 0.135279121158
-20.2695456147, 0.353772329575, 0.127102728857
-11.5123592133, 0.229341391675, 0.12065431212
-2.75517324974, 0.213756822881, 0.119130242276
6.00201315164, 0.222780027795, 0.118215473659
14.759199553, 0.290230791653, 0.119751134691
23.5163855166, 0.497484172106, 0.129738507805
32.273571918, 0.659541427658, 0.140774054332
41.0307578816, 0.826275840924, 0.146475170065
49.7879442829, 0.909989254475, 0.145459351476
58.5451302465, 0.955656251676, 0.145418214225
67.3023166479, 0.88102848187, 0.143831967205
76.0595026114, 0.945900832867, 0.146625785843
84.8166890128, 0.959544401756, 0.147996863359
93.5738749764, 0.961898074134, 0.148502621672
102.331061378, 1.03667704234, 0.147541405925
111.088247341, 1.03112160535, 0.150570841492
119.845433743, 0.976766740345, 0.148959896172
128.602619706, 1.05319325173, 0.150461276318
137.359806108, 1.15088664519, 0.152469554117
146.116992071, 1.00275720376, 0.149510147456
154.874178473, 0.903418677484, 0.146071869148
163.631364874, 0.938953249863, 0.145765325354
172.432336695, 0.98866768255, 0.150174671037
181.189523097, 1.04666239627, 0.152785573769
189.94670906, 1.0358453761, 0.153602433544
198.703895461, 1.04112285086, 0.150754806765
207.461081425, 1.15173992792, 0.153517243186
216.218267826, 1.02253991401, 0.151088749498
224.97545379, 0.948831607121, 0.148587330914
233.732640191, 1.18416656301, 0.158030493324
242.489826155, 0.994238397274, 0.15006461092
251.247012556, 0.98227222129, 0.148911136272
260.004198958, 0.935383076268, 0.149444864088
268.761384921, 0.924740952529, 0.149626130875
277.518571323, 1.0888016958, 0.15359560197
286.275757286, 0.982342005483, 0.151245077205
295.032943688, 0.907795508764, 0.148136701415
303.790129651, 1.02958591129, 0.152180210801
312.547316053, 1.05974775631, 0.153875416288
321.304502016, 1.01536338765, 0.148736233792
330.061688417, 1.15438800662, 0.155134562782
338.818874381, 1.14725657533, 0.154965638431
347.576060782, 1.05089048493, 0.152877351623
356.333246746, 0.931834900206, 0.148451527445
365.090433147, 1.06056611836, 0.152486216129
373.847619111, 1.03551227531, 0.152242031294
382.604805512, 0.955789226849, 0.15037470608
391.361991476, 1.01088466031, 0.151082916479
